t (s),V (mV),,,lnV,t,,(lnV)^2,t^2,t*lnV
354.062,11.6963,,,2.45927255247327,354.062,,6.04802148734841,125359.899844,870.734958473792
355.062,11.688,,,2.4585626744484,355.062,,6.04453042419086,126069.023844,872.942180314997
356.061,11.6802,,,2.45789510054115,356.061,,6.04124832526419,126779.435721,875.160587393782
357.061,11.6713,,,2.4571328368381,357.061,,6.03750177786803,127492.557721,877.346307854247
358.061,11.664,,,2.4565071752663,358.061,,6.03442750213483,128207.679721,879.579415683027
359.061,11.652,,,2.45547783909719,359.061,,6.0293714182974,128924.801721,881.666328384075
360.061,11.6474,,,2.45508297913858,360.061,,6.02743243445598,129643.923721,883.979632551617
361.061,11.6412,,,2.4545505297731,361.061,,6.02481830320941,130365.045721,886.242468830406
362.062,11.6258,,,2.45322676630993,362.062,,6.01832156693946,131088.891844,888.220189463705
363.062,11.6241,,,2.45308052912155,363.062,,6.01760408235526,131814.015844,890.620323063928
364.062,11.6201,,,2.45273635723871,364.062,,6.01591563812064,132541.139844,892.948103689041
365.062,11.612,,,2.45203904616238,365.062,,6.01249548390493,133270.263844,895.146278270132
366.061,11.5981,,,2.45084129159332,366.061,,6.00662303657879,134000.655721,897.157414041941
367.061,11.5939,,,2.4504790977294,367.061,,6.00484780840872,134733.777721,899.475308091653
368.061,11.5839,,,2.44961620300941,368.061,,6.00061954204626,135468.899721,901.608189295848
369.061,11.5771,,,2.44902900900265,369.061,,5.99774308693648,136206.021721,903.841095091525
370.062,11.5685,,,2.4482858871656,370.062,,5.99410378529425,136945.883844,906.017571976276
371.062,11.561,,,2.44763736469319,371.062,,5.9909286690422,137687.007844,908.225215817783
372.062,11.5531,,,2.44695379922383,372.062,,5.98758289553593,138430.131844,910.418524446816
373.061,11.5455,,,2.44629575066034,373.061,,5.98436289969886,139174.509721,912.617539037099
374.061,11.5376,,,2.44561126718036,374.061,,5.98101447015952,139921.631721,914.807796212752
375.061,11.5295,,,2.44490896820624,375.061,,5.97757986281531,140670.753721,916.990002524401
376.062,11.5218,,,2.44424089306199,376.062,,5.97431354331645,141422.627844,919.186118726677
377.062,11.5137,,,2.44353763067707,377.062,,5.97087615253492,142175.751844,921.365186098358
378.061,11.505,,,2.44278172348733,378.061,,5.96718254860373,142930.119721,923.520501163343
379.062,11.4981,,,2.442181804328,379.062,,5.96425196539078,143687.999844,925.738319112182
380.062,11.4906,,,2.44152930981843,380.062,,5.96106537070247,144447.123844,927.932512548213
381.062,11.4839,,,2.44094605445358,381.062,,5.95821764075248,145208.247844,930.151785402189
382.061,11.4765,,,2.44030146635788,382.061,,5.95507124670842,145970.607721,932.344018538158
383.062,11.4693,,,2.43967390050824,383.062,,5.9520087408211,146736.495844,934.546363676488
384.061,11.4628,,,2.43910700954108,384.061,,5.94924300399241,147502.851721,936.765877191355
385.061,11.4548,,,2.43840885612842,385.061,,5.94583774964551,148271.973721,938.936152549665
386.062,11.4464,,,2.43767527008256,386.062,,5.94226072237209,149043.867844,941.093790118614
387.062,11.4367,,,2.43682748280016,387.062,,5.93812818093016,149816.991844,943.203319147595
388.061,11.4303,,,2.43626772418144,388.061,,5.93540042388822,150591.339721,945.420489313574
